9d44c7d7,Mummoth,Squashed commit of the following:,17 seconds ago
99798fcb,Mummoth,Squashed commit of the following:,Fri 10:10
2ec2e8e6,Mummoth,Squashed commit of the following:,Wed Apr 23 21:03
8a81ff80,Mummoth,Delete John_V0.3.1.zip,Wed Apr 23 20:58
c348445e,Mummoth,Merge branch 'MergeBranch',Wed Apr 23 16:29
2db1857f,Mummoth,Post Build Commit,Wed Apr 23 16:21
47bfcb82,Mummoth,Squashed commit of the following:,Wed Apr 23 16:08
4f97cc4f,Mummoth,Fixed GTG-385,Wed Apr 23 15:27
538ff8e7,GluetrapGames,Merge branch 'MergeBranch' of https://github.com/GluetrapGames/PointClick_Game into MergeBranch,Wed Apr 23 15:12
6bab1998,GluetrapGames,Merge branch 'UI-Hotfix' into MergeBranch,Wed Apr 23 15:12
7f005cc8,Mummoth,Quick Fix,Wed Apr 23 15:07
6f31dc30,Mummoth,Fixed GTG-498,Wed Apr 23 14:57
9a6ffd42,GluetrapGames,RAT NAMEPLATES,Wed Apr 23 14:52
8fd78079,Mummoth,Fixed the Dialogue Database Merge Conflict,Wed Apr 23 14:12
361f9571,Mummoth,Merge branch 'MergeBranch' of https://github.com/GluetrapGames/PointClick_Game into MergeBranch,Wed Apr 23 14:03
c726cbef,Mummoth,Merge branch 'PeterBugFixes' into MergeBranch,Wed Apr 23 14:03
aa172e3f,Mummoth,Merge branch 'PeterBugFixes' into MergeBranch,Wed Apr 23 14:02
4777e07b,Mummoth,Completed GTG-494,Wed Apr 23 13:57
a2f7e002,Mummoth,Fixed Issues.,Wed Apr 23 13:46
a2478a2c,Mummoth,Squashed commit of the following:,Wed Apr 23 12:50
dc1bfc97,Lewis Docherty,Dialogue db blab final fixes, wwise changes,Wed Apr 23 12:48
a599b250,weaseles,Rat Credits,Wed Apr 23 12:03
7669aa8f,Lewis Docherty,Dialogue blab fixes,Wed Apr 23 12:03
be571994,weaseles,Merge branch 'UI-Hotfix' of https://github.com/GluetrapGames/PointClick_Game into UI-Hotfix,Wed Apr 23 11:56
f4de6775,weaseles,John Logo,Wed Apr 23 11:56
ae5b0df9,weaseles,John Logo,Wed Apr 23 11:55
960fe7a6,Adam,dialogue var reset update,Tue Apr 22 22:53
29f03211,Adam,portrait fix,Tue Apr 22 19:18
92bfda02,Adam,Build safety check,Tue Apr 22 18:11
ec35d70c,Adam,Merge branch 'MergeBranch' of https://github.com/GluetrapGames/PointClick_Game into MergeBranch,Tue Apr 22 18:05
743e7ed0,Adam,cutscene completion,Tue Apr 22 18:05
f39e8859,Mummoth,Merge branch 'MergeBranch' of https://github.com/GluetrapGames/PointClick_Game into MergeBranch,Tue Apr 22 17:23
632b408a,Mummoth,Fixed Bug with Bed Ending.,Tue Apr 22 17:22
ecd055ac,Lewis Docherty,Merge branch 'Audio-NEW' into MergeBranch,Tue Apr 22 17:19
4020b250,Lewis Docherty,wwise changes,Tue Apr 22 17:18
d882c895,gianhel,Merge branch 'BetaControllerSupport' into MergeBranch,Tue Apr 22 17:15
8e37dbf8,gianhel,Fixes,Tue Apr 22 17:15
fab6dd6d,Mummoth,"Bedroom_Bed" Conversation Change,Tue Apr 22 17:07
852ecca8,Adam,Squashed commit of the following:,Tue Apr 22 17:04
ce1ca23e,Mummoth,Merge branch 'PeterBugFixes' into MergeBranch,Tue Apr 22 17:02
10d5ec41,Mummoth,Implemented GTG-480,Tue Apr 22 17:01
1deb6b9a,gianhel,Edited poems collisions,Tue Apr 22 16:57
c6a0a99e,gianhel,Merge branch 'BetaControllerSupport' into MergeBranch,Tue Apr 22 16:48
19731e43,gianhel,Re-added full controller support,Tue Apr 22 16:43
ded012de,Lewis Docherty,Merge branch 'Audio-NEW' into MergeBranch,Tue Apr 22 16:35
615450cf,Lewis Docherty,Blab Changes,Tue Apr 22 16:34
5fbeeb2b,Lewis Docherty,Tonal blabs final hopefully,Tue Apr 22 16:24
a8c6033a,Mummoth,Merge branch 'PeterBugFixes' into MergeBranch,Tue Apr 22 15:33
e345e742,Mummoth,Completed GTG-488,Tue Apr 22 15:33
53770b60,Lewis Docherty,Merge branch 'Audio-NEW' into MergeBranch,Tue Apr 22 15:17
d0f8a508,Lewis Docherty,Tonal blabs on dialogue db,Tue Apr 22 14:47
2f6761df,ELOISE SALT,credits art,Tue Apr 22 14:45
cfe3341c,ELOISE SALT,MAIN MENU LOGO,Tue Apr 22 14:41
2f4d79cc,LOUISE MACARTHUR,Kitchen, Albert, John,Tue Apr 22 14:35
b5ac929e,LOUISE MACARTHUR,Living Room and dining room Lighting,Tue Apr 22 14:20
4d24f4bd,Mummoth,Completed GT-476 & Added the Animated Judge in Courtroom Scene 4,Tue Apr 22 14:08
e9c45996,Lewis Docherty,Meta files,Tue Apr 22 13:10
ef61c8d6,Lewis Docherty,Merge branch 'Audio-NEW' into MergeBranch,Tue Apr 22 13:09
c37794fc,Lewis Docherty,Grandfather clock break sounds,Tue Apr 22 13:08
923b2344,Mummoth,Completed GTG-484,Tue Apr 22 12:56
642d5753,Mummoth,Progressed on GTG-484,Tue Apr 22 12:30
648b199f,Mummoth,Fixed GTG-393,Tue Apr 22 11:19
4f26e011,Mummoth,Fixed GTG-450,Tue Apr 22 10:54
c6195bb0,Mummoth,Fixed GTG-463,Tue Apr 22 09:43
307b00d9,Mummoth,Fixed GTG-399,Tue Apr 22 09:22
a6416a5f,Mummoth,Merge branch 'MergeBranch' into PeterBugFixes,Tue Apr 22 09:09
81a7dc3b,Mummoth,Squashed commit of the following:,Tue Apr 22 09:06
915564cf,Mummoth,Fixed Unity Editor Compiler Error,Mon Apr 21 19:09
2209b9f3,Mummoth,Squashed commit of the following:,Mon Apr 21 18:13
c845231d,Mummoth,Fixed GTG-472,Mon Apr 21 18:13
6cbcc257,Mummoth,Update GameManager.cs,Mon Apr 21 16:19
ee98a963,Mummoth,Fixed GTG-470,Mon Apr 21 15:40
6daa8f8e,Mummoth,Fixed GTG-466,Mon Apr 21 15:25
c08939a9,Lewis Docherty,Merge branch 'Audio' into MergeBranch,Mon Apr 21 13:34
12f95236,Lewis Docherty,Music State Switching,Mon Apr 21 12:57
7500ee76,Adam,beer animation fixed,Mon Apr 21 12:30
75ea1a00,Lewis Docherty,Merge branch 'MergeBranch' into Audio,Mon Apr 21 11:51
f874ccf4,Mummoth,Did Small Fixes,Sat Apr 19 13:04
99abf7da,Mummoth,Squashed commit of the following:,Sat Apr 19 12:10
99809799,Mummoth,Build FIxes,Fri Apr 18 15:38
37c3ac3f,Mummoth,Update AkWwiseProjectData.asset,Fri Apr 18 15:20
89e7913f,Mummoth,Merge branch 'MergeBranch' of https://github.com/GluetrapGames/PointClick_Game into MergeBranch,Fri Apr 18 15:20
131a7842,Mummoth,Fixed Bugs,Fri Apr 18 15:17
251023c2,gianhel,Merge branch 'MergeBranch' of https://github.com/GluetrapGames/PointClick_Game into MergeBranch,Fri Apr 18 14:56
79aa80e4,gianhel,Added dynamic background,Fri Apr 18 14:55
677eb681,GluetrapGames,adding the nameplates,Fri Apr 18 14:55
432adae5,gianhel,Merge branch 'RecordInteraction' into MergeBranch,Fri Apr 18 14:32
89b8f9ea,gianhel,Fixed scene transition colliders,Fri Apr 18 14:32
b6f58dd8,gianhel,Re-added sprite for keys,Fri Apr 18 14:27
2b68270c,Adam,Merge remote-tracking branch 'origin/RecordInteraction' into MergeBranch,Thu Apr 17 17:44
c6f45615,gianhel,Merge branch 'RecordInteraction' of https://github.com/GluetrapGames/PointClick_Game into RecordInteraction,Thu Apr 17 17:39
ce38f025,gianhel,Added BG,Thu Apr 17 17:38
1c5785e9,Adam,Merge branch 'DialogueV3' into MergeBranch,Thu Apr 17 17:30
e5e1712b,Adam,Adjusted john location at fridge,Thu Apr 17 17:29
8552807d,Lewis Docherty,Sounds,Thu Apr 17 17:25
cf5c2ba5,LOUISE MACARTHUR,Merge branch 'Lighting' into MergeBranch,Thu Apr 17 17:13
a080daf5,LOUISE MACARTHUR,Outside,Thu Apr 17 17:02
c803b05d,Adam,Squashed commit of the following:,Thu Apr 17 16:55
7f7c3b49,LOUISE MACARTHUR,Dining Room Lighting,Thu Apr 17 16:54
dc15507a,Adam,Merge branch 'DialogueV3' into MergeBranch,Thu Apr 17 16:54
79090ed8,Adam,John drinks beer,Thu Apr 17 16:52
79fe82c9,Mummoth,Added the "VisualEffectGraph" Package,Thu Apr 17 16:50
76b3a1f8,gianhel,Interaction won't start if record player is damaged,Thu Apr 17 16:47
d2e5680f,Mummoth,Tried to Add a Gradient Effect on the Highlight Shader,Thu Apr 17 16:45
5f4ae184,LOUISE MACARTHUR,Downstairs Bathroom,Thu Apr 17 16:39
bd974766,gianhel,Made record player unable to be interacted with if no record,Thu Apr 17 16:34
e557cd5b,LOUISE MACARTHUR,Living Room Lighting,Thu Apr 17 16:32
00e401f6,Mummoth,Update Highlight.cs,Thu Apr 17 16:11
aea72787,Mummoth,Updated the Highlight Colour,Thu Apr 17 16:06
30c4c639,Mummoth,Fixed the Logo Placement in the Main Menu,Thu Apr 17 16:04
7017596b,Mummoth,Merge branch 'MergeBranch' of https://github.com/GluetrapGames/PointClick_Game into MergeBranch,Thu Apr 17 15:59
24465701,Mummoth,Finished Setting Up the Graphics Menu,Thu Apr 17 15:58
02226e15,gianhel,Added Record Interaction - Needs audio implementation,Thu Apr 17 15:57
a7cf49f7,gianhel,Added record to living room + fixed drag and drop,Thu Apr 17 14:52
564fd856,Lewis Docherty,Merge branch 'Audio-NEW' into MergeBranch,Thu Apr 17 14:51
c8379039,LOUISE MACARTHUR,Merge branch 'Lighting' into MergeBranch,Thu Apr 17 14:50
ee0a1d60,LOUISE MACARTHUR,Kitchen Lighting,Thu Apr 17 14:48
ccaa62f5,Lewis Docherty,More bug fixes,Thu Apr 17 14:44
2ef0cb44,LOUISE MACARTHUR,Downstairs Hallway Lighting,Thu Apr 17 14:29
c30f1193,Lewis Docherty,Script cleanup,Thu Apr 17 14:11
1d5d34fe,Lewis Docherty,Dialogue backlog audio bug fixes,Thu Apr 17 13:59
a90f1f42,gianhel,Adjusted grid of every scene,Thu Apr 17 13:50
c5238882,Mummoth,Squashed commit of the following:,Thu Apr 17 13:19
96191072,gianhel,Did a thing,Thu Apr 17 13:17
a6e91fe6,Adam,added debbie anims,Thu Apr 17 12:52
17e22054,gianhel,Readded coins to living room and spare bedroom,Thu Apr 17 12:44
a5520737,gianhel,Merge branch 'MoneyPickups' into MergeBranch,Thu Apr 17 12:32
cca94e55,gianhel,Update SceneTransition.cs,Thu Apr 17 12:32
889262d0,LOUISE MACARTHUR,Upstairs Hallway Lighting,Thu Apr 17 12:31
3252d7aa,Lewis Docherty,Merge branch 'MergeBranch' into Audio-NEW,Thu Apr 17 12:25
3a4c952a,Adam,Merge branch 'DialogueV3' into MergeBranch,Thu Apr 17 12:24
1d795ee2,Adam,Updated audio sequencer,Thu Apr 17 12:24
8a8600e6,Lewis Docherty,Merge branch 'MergeBranch' into Audio-NEW,Thu Apr 17 12:16
